,Class,SubClass,Name,Type,Item,Content,Rank,Average,123123
16,调味品类,酱油,黄豆酱油,维生素,维生素C(Vitamin C),—,,,
17,调味品类,酱油,黄豆酱油,矿物质,钙(Ca),25mg,3,34mg,
18,调味品类,酱油,黄豆酱油,矿物质,磷(P),78mg,3,129mg,
19,调味品类,酱油,黄豆酱油,矿物质,钾(K),386mg,2,380mg,
20,调味品类,酱油,黄豆酱油,矿物质,钠(Na),5699.8mg,4,6188.0mg,
21,调味品类,酱油,黄豆酱油,矿物质,镁(Mg),32mg,3,65mg,
22,调味品类,酱油,黄豆酱油,矿物质,铁(Fe),3.5mg,3,5.2mg,
23,调味品类,酱油,黄豆酱油,矿物质,锌(Zn),0.56mg,3,0.71mg,
24,调味品类,酱油,黄豆酱油,矿物质,硒(Se),1.20μg,4,1.45μg,
25,调味品类,酱油,黄豆酱油,矿物质,铜(Cu),0.07mg,3,0.15mg,
26,调味品类,酱油,黄豆酱油,矿物质,锰(Mn),0.53mg,3,0.63mg,
27,调味品类,酱油,黄豆酱油,矿物质,碘(I),Tr,,,
28,调味品类,酱油,黄豆酱油,脂肪酸,饱和脂肪酸(SFA),—,,,
29,调味品类,酱油,黄豆酱油,脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,调味品类,酱油,黄豆酱油,脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,调味品类,酱油,黄豆酱油,脂肪酸,合计(Total),—,,,
0,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),类型,项目,含量,同类排名,同类均值,含量水平
1,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),能量与相关成分,食部(Edible),100%,1,100%,
2,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),能量与相关成分,水分(Water),—,,,
3,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),能量与相关成分,能量(Energy),2260kJ,3,2090kJ,
4,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),能量与相关成分,蛋白质(Protein),11.0g,38,15.5g,
5,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),能量与相关成分,脂肪(Fat),28.0g,3,21.7g,
6,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),能量与相关成分,胆固醇(Cholesterol),—,,,
7,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),能量与相关成分,灰分(Ash),—,,,
8,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),能量与相关成分,碳水化合物(CHO),61.0g,16,60.3g,
9,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),维生素,胡萝卜素(Carotene),165.0μg,10,109.1μg,
11,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),维生素,维生素A(Vitamin),—,,,
12,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),维生素,α-TE,—,,,
13,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),维生素,硫胺素(Thiamin),0.79mg,4,0.51mg,
14,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),维生素,核黄素(Riboflavin),1.18mg,1,0.83mg,
15,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),维生素,烟酸(Niacin),3.94mg,35,4.83mg,
16,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),维生素,维生素C(Vitamin C),71.0mg,9,63.8mg,
17,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),矿物质,钙(Ca),386mg,34,574mg,
18,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),矿物质,磷(P),220mg,41,403mg,
19,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),矿物质,钾(K),512mg,38,730mg,
20,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),矿物质,钠(Na),126.0mg,41,228.1mg,
21,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),矿物质,镁(Mg),35mg,41,56mg,
22,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),矿物质,铁(Fe),6.3mg,39,7.8mg,
23,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),矿物质,锌(Zn),4.70mg,22,5.16mg,
24,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),矿物质,硒(Se),9.50μg,11,4.53μg,
25,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),矿物质,铜(Cu),0.49mg,2,0.38mg,
26,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),矿物质,锰(Mn),0.07mg,18,0.16mg,
27,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),矿物质,碘(I),90.0μg,5,72.6μg,
28,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),脂肪酸,饱和脂肪酸(SFA),—,,,
29,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,婴幼儿食品,婴幼儿配方粉,婴儿配方奶粉(爱儿乐，惠氏，简装),脂肪酸,合计(Total),—,,,
0,蛋类及制品,鸡蛋,鸡蛋(白皮),类型,项目,含量,同类排名,同类均值,含量水平
1,蛋类及制品,鸡蛋,鸡蛋(白皮),能量与相关成分,食部(Edible),87%,11,94%,
2,蛋类及制品,鸡蛋,鸡蛋(白皮),能量与相关成分,水分(Water),75.8g,3,66.6g,
3,蛋类及制品,鸡蛋,鸡蛋(白皮),能量与相关成分,能量(Energy),574kJ,11,837kJ,
4,蛋类及制品,鸡蛋,鸡蛋(白皮),能量与相关成分,蛋白质(Protein),12.7g,10,14.7g,
5,蛋类及制品,鸡蛋,鸡蛋(白皮),能量与相关成分,脂肪(Fat),9.0g,9,14.6g,
6,蛋类及制品,鸡蛋,鸡蛋(白皮),能量与相关成分,胆固醇(Cholesterol),585mg,6,777mg,
7,蛋类及制品,鸡蛋,鸡蛋(白皮),能量与相关成分,灰分(Ash),1.0g,7,1.4g,
8,蛋类及制品,鸡蛋,鸡蛋(白皮),能量与相关成分,碳水化合物(CHO),1.5g,8,2.9g,
9,蛋类及制品,鸡蛋,鸡蛋(白皮),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,蛋类及制品,鸡蛋,鸡蛋(白皮),维生素,胡萝卜素(Carotene),,,,
11,蛋类及制品,鸡蛋,鸡蛋(白皮),维生素,维生素A(Vitamin),310.0μg,3,227.8μg,
12,蛋类及制品,鸡蛋,鸡蛋(白皮),维生素,α-TE,—,,,
13,蛋类及制品,鸡蛋,鸡蛋(白皮),维生素,硫胺素(Thiamin),0.09mg,5,0.08mg,
14,蛋类及制品,鸡蛋,鸡蛋(白皮),维生素,核黄素(Riboflavin),0.31mg,6,0.33mg,
15,蛋类及制品,鸡蛋,鸡蛋(白皮),维生素,烟酸(Niacin),0.20mg,2,0.18mg,
16,蛋类及制品,鸡蛋,鸡蛋(白皮),维生素,维生素C(Vitamin C),,,,
17,蛋类及制品,鸡蛋,鸡蛋(白皮),矿物质,钙(Ca),48mg,9,82mg,
18,蛋类及制品,鸡蛋,鸡蛋(白皮),矿物质,磷(P),176mg,8,210mg,
19,蛋类及制品,鸡蛋,鸡蛋(白皮),矿物质,钾(K),98mg,11,124mg,
20,蛋类及制品,鸡蛋,鸡蛋(白皮),矿物质,钠(Na),94.7mg,7,116.2mg,
21,蛋类及制品,鸡蛋,鸡蛋(白皮),矿物质,镁(Mg),14mg,5,12mg,
22,蛋类及制品,鸡蛋,鸡蛋(白皮),矿物质,铁(Fe),2.0mg,6,2.8mg,
23,蛋类及制品,鸡蛋,鸡蛋(白皮),矿物质,锌(Zn),1.00mg,9,1.72mg,
24,蛋类及制品,鸡蛋,鸡蛋(白皮),矿物质,硒(Se),16.60μg,6,16.77μg,
25,蛋类及制品,鸡蛋,鸡蛋(白皮),矿物质,铜(Cu),0.06mg,8,0.14mg,
26,蛋类及制品,鸡蛋,鸡蛋(白皮),矿物质,锰(Mn),0.03mg,8,0.03mg,
27,蛋类及制品,鸡蛋,鸡蛋(白皮),矿物质,碘(I),,,,
28,蛋类及制品,鸡蛋,鸡蛋(白皮),脂肪酸,饱和脂肪酸(SFA),36.1%,5,23.3%,
29,蛋类及制品,鸡蛋,鸡蛋(白皮),脂肪酸,单不饱和脂肪酸(MUFA),45.9%,2,21.5%,
30,蛋类及制品,鸡蛋,鸡蛋(白皮),脂肪酸,多不饱和脂肪酸(PUFA),15.6%,4,8.2%,
31,蛋类及制品,鸡蛋,鸡蛋(白皮),脂肪酸,合计(Total),97.8%,5,53.1%,
0,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],类型,项目,含量,同类排名,同类均值,含量水平
1,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],能量与相关成分,食部(Edible),58%,70,74%,
2,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],能量与相关成分,水分(Water),77.3g,18,67.0g,
3,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],能量与相关成分,能量(Energy),475kJ,52,720kJ,
4,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],能量与相关成分,蛋白质(Protein),16.6g,71,19.4g,
5,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],能量与相关成分,脂肪(Fat),5.2g,36,9.1g,
6,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],能量与相关成分,胆固醇(Cholesterol),86mg,27,82mg,
7,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],能量与相关成分,灰分(Ash),1.1g,61,1.7g,
8,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],能量与相关成分,碳水化合物(CHO),Tr,,,
9,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],维生素,胡萝卜素(Carotene),,,,
11,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],维生素,维生素A(Vitamin),11.0μg,33,15.3μg,
12,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],维生素,α-TE,—,,,
13,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],维生素,硫胺素(Thiamin),0.04mg,26,0.05mg,
14,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],维生素,核黄素(Riboflavin),0.11mg,26,0.14mg,
15,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],维生素,烟酸(Niacin),2.80mg,44,3.43mg,
16,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],维生素,维生素C(Vitamin C),,,,
17,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],矿物质,钙(Ca),38mg,52,83mg,
18,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],矿物质,磷(P),203mg,38,224mg,
19,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],矿物质,钾(K),312mg,30,280mg,
20,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],矿物质,钠(Na),46.0mg,79,236.7mg,
21,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],矿物质,镁(Mg),31mg,36,30mg,
22,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],矿物质,铁(Fe),0.8mg,65,1.6mg,
23,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],矿物质,锌(Zn),0.87mg,52,1.20mg,
24,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],矿物质,硒(Se),6.70μg,76,31.24μg,
25,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],矿物质,铜(Cu),0.05mg,49,0.08mg,
26,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],矿物质,锰(Mn),0.05mg,41,0.19mg,
27,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],矿物质,碘(I),,,,
28,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],脂肪酸,饱和脂肪酸(SFA),26.8%,51,27.0%,
29,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],脂肪酸,单不饱和脂肪酸(MUFA),39.4%,34,30.1%,
30,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],脂肪酸,多不饱和脂肪酸(PUFA),23.6%,36,19.2%,
31,鱼虾蟹贝类,鱼,草鱼[白鲩，草包鱼],脂肪酸,合计(Total),90.2%,60,76.4%,
0,鱼虾蟹贝类,鱼,黄鳝丝,类型,项目,含量,同类排名,同类均值,含量水平
1,鱼虾蟹贝类,鱼,黄鳝丝,能量与相关成分,食部(Edible),88%,24,74%,
2,鱼虾蟹贝类,鱼,黄鳝丝,能量与相关成分,水分(Water),83.2g,1,67.0g,
3,鱼虾蟹贝类,鱼,黄鳝丝,能量与相关成分,能量(Energy),291kJ,88,720kJ,
4,鱼虾蟹贝类,鱼,黄鳝丝,能量与相关成分,蛋白质(Protein),15.4g,77,19.4g,
5,鱼虾蟹贝类,鱼,黄鳝丝,能量与相关成分,脂肪(Fat),0.8g,80,9.1g,
6,鱼虾蟹贝类,鱼,黄鳝丝,能量与相关成分,胆固醇(Cholesterol),77mg,40,82mg,
7,鱼虾蟹贝类,鱼,黄鳝丝,能量与相关成分,灰分(Ash),0.6g,82,1.7g,
8,鱼虾蟹贝类,鱼,黄鳝丝,能量与相关成分,碳水化合物(CHO),Tr,,,
9,鱼虾蟹贝类,鱼,黄鳝丝,能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,鱼虾蟹贝类,鱼,黄鳝丝,维生素,胡萝卜素(Carotene),,,,
11,鱼虾蟹贝类,鱼,黄鳝丝,维生素,维生素A(Vitamin),,,,
12,鱼虾蟹贝类,鱼,黄鳝丝,维生素,α-TE,—,,,
13,鱼虾蟹贝类,鱼,黄鳝丝,维生素,硫胺素(Thiamin),0.04mg,26,0.05mg,
14,鱼虾蟹贝类,鱼,黄鳝丝,维生素,核黄素(Riboflavin),2.08mg,1,0.14mg,
15,鱼虾蟹贝类,鱼,黄鳝丝,维生素,烟酸(Niacin),1.80mg,67,3.43mg,
16,鱼虾蟹贝类,鱼,黄鳝丝,维生素,维生素C(Vitamin C),,,,
17,鱼虾蟹贝类,鱼,黄鳝丝,矿物质,钙(Ca),57mg,34,83mg,
18,鱼虾蟹贝类,鱼,黄鳝丝,矿物质,磷(P),81mg,87,224mg,
19,鱼虾蟹贝类,鱼,黄鳝丝,矿物质,钾(K),278mg,43,280mg,
20,鱼虾蟹贝类,鱼,黄鳝丝,矿物质,钠(Na),131.0mg,29,236.7mg,
21,鱼虾蟹贝类,鱼,黄鳝丝,矿物质,镁(Mg),,,,
22,鱼虾蟹贝类,鱼,黄鳝丝,矿物质,铁(Fe),2.8mg,6,1.6mg,
23,鱼虾蟹贝类,鱼,黄鳝丝,矿物质,锌(Zn),1.82mg,17,1.20mg,
24,鱼虾蟹贝类,鱼,黄鳝丝,矿物质,硒(Se),36.40μg,28,31.24μg,
25,鱼虾蟹贝类,鱼,黄鳝丝,矿物质,铜(Cu),0.02mg,70,0.08mg,
26,鱼虾蟹贝类,鱼,黄鳝丝,矿物质,锰(Mn),8.25mg,1,0.19mg,
27,鱼虾蟹贝类,鱼,黄鳝丝,矿物质,碘(I),,,,
28,鱼虾蟹贝类,鱼,黄鳝丝,脂肪酸,饱和脂肪酸(SFA),25.3%,56,27.0%,
29,鱼虾蟹贝类,鱼,黄鳝丝,脂肪酸,单不饱和脂肪酸(MUFA),36.7%,42,30.1%,
30,鱼虾蟹贝类,鱼,黄鳝丝,脂肪酸,多不饱和脂肪酸(PUFA),27.8%,21,19.2%,
31,鱼虾蟹贝类,鱼,黄鳝丝,脂肪酸,合计(Total),89.9%,62,76.4%,
0,禽肉类及制品,鸡,鸡(土鸡，家养),类型,项目,含量,同类排名,同类均值,含量水平
1,禽肉类及制品,鸡,鸡(土鸡，家养),能量与相关成分,食部(Edible),58%,14,79%,
2,禽肉类及制品,鸡,鸡(土鸡，家养),能量与相关成分,水分(Water),73.5g,4,63.5g,
3,禽肉类及制品,鸡,鸡(土鸡，家养),能量与相关成分,能量(Energy),520kJ,11,811kJ,
4,禽肉类及制品,鸡,鸡(土鸡，家养),能量与相关成分,蛋白质(Protein),20.8g,5,18.3g,
5,禽肉类及制品,鸡,鸡(土鸡，家养),能量与相关成分,脂肪(Fat),4.5g,12,10.8g,
6,禽肉类及制品,鸡,鸡(土鸡，家养),能量与相关成分,胆固醇(Cholesterol),106mg,8,145mg,
7,禽肉类及制品,鸡,鸡(土鸡，家养),能量与相关成分,灰分(Ash),1.2g,5,1.5g,
8,禽肉类及制品,鸡,鸡(土鸡，家养),能量与相关成分,碳水化合物(CHO),0.0g,13,6.0g,
9,禽肉类及制品,鸡,鸡(土鸡，家养),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,禽肉类及制品,鸡,鸡(土鸡，家养),维生素,胡萝卜素(Carotene),,,,
11,禽肉类及制品,鸡,鸡(土鸡，家养),维生素,维生素A(Vitamin),64.0μg,6,805.2μg,
12,禽肉类及制品,鸡,鸡(土鸡，家养),维生素,α-TE,—,,,
13,禽肉类及制品,鸡,鸡(土鸡，家养),维生素,硫胺素(Thiamin),0.09mg,3,0.09mg,
14,禽肉类及制品,鸡,鸡(土鸡，家养),维生素,核黄素(Riboflavin),0.08mg,13,0.19mg,
15,禽肉类及制品,鸡,鸡(土鸡，家养),维生素,烟酸(Niacin),15.70mg,1,7.11mg,
16,禽肉类及制品,鸡,鸡(土鸡，家养),维生素,维生素C(Vitamin C),,,,
17,禽肉类及制品,鸡,鸡(土鸡，家养),矿物质,钙(Ca),9mg,9,22mg,
18,禽肉类及制品,鸡,鸡(土鸡，家养),矿物质,磷(P),141mg,9,150mg,
19,禽肉类及制品,鸡,鸡(土鸡，家养),矿物质,钾(K),276mg,3,208mg,
20,禽肉类及制品,鸡,鸡(土鸡，家养),矿物质,钠(Na),74.1mg,9,280.8mg,
21,禽肉类及制品,鸡,鸡(土鸡，家养),矿物质,镁(Mg),40mg,2,21mg,
22,禽肉类及制品,鸡,鸡(土鸡，家养),矿物质,铁(Fe),2.1mg,8,4.7mg,
23,禽肉类及制品,鸡,鸡(土鸡，家养),矿物质,锌(Zn),1.06mg,11,1.42mg,
24,禽肉类及制品,鸡,鸡(土鸡，家养),矿物质,硒(Se),12.80μg,2,10.79μg,
25,禽肉类及制品,鸡,鸡(土鸡，家养),矿物质,铜(Cu),0.10mg,5,0.25mg,
26,禽肉类及制品,鸡,鸡(土鸡，家养),矿物质,锰(Mn),0.05mg,5,0.09mg,
27,禽肉类及制品,鸡,鸡(土鸡，家养),矿物质,碘(I),,,,
28,禽肉类及制品,鸡,鸡(土鸡，家养),脂肪酸,饱和脂肪酸(SFA),—,,,
29,禽肉类及制品,鸡,鸡(土鸡，家养),脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,禽肉类及制品,鸡,鸡(土鸡，家养),脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,禽肉类及制品,鸡,鸡(土鸡，家养),脂肪酸,合计(Total),—,,,
0,速食食品,快餐食品,鸡肉卷(肯德基),类型,项目,含量,同类排名,同类均值,含量水平
1,速食食品,快餐食品,鸡肉卷(肯德基),能量与相关成分,食部(Edible),100%,1,97%,
2,速食食品,快餐食品,鸡肉卷(肯德基),能量与相关成分,水分(Water),49.2g,8,47.8g,
3,速食食品,快餐食品,鸡肉卷(肯德基),能量与相关成分,能量(Energy),1085kJ,14,1114kJ,
4,速食食品,快餐食品,鸡肉卷(肯德基),能量与相关成分,蛋白质(Protein),10.1g,20,12.7g,
5,速食食品,快餐食品,鸡肉卷(肯德基),能量与相关成分,脂肪(Fat),13.1g,14,13.1g,
6,速食食品,快餐食品,鸡肉卷(肯德基),能量与相关成分,胆固醇(Cholesterol),49mg,5,30mg,
7,速食食品,快餐食品,鸡肉卷(肯德基),能量与相关成分,灰分(Ash),2.4g,5,2.1g,
8,速食食品,快餐食品,鸡肉卷(肯德基),能量与相关成分,碳水化合物(CHO),25.2g,9,24.5g,
9,速食食品,快餐食品,鸡肉卷(肯德基),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,速食食品,快餐食品,鸡肉卷(肯德基),维生素,胡萝卜素(Carotene),—,,,
11,速食食品,快餐食品,鸡肉卷(肯德基),维生素,维生素A(Vitamin),64.0μg,6,40.8μg,
12,速食食品,快餐食品,鸡肉卷(肯德基),维生素,α-TE,—,,,
13,速食食品,快餐食品,鸡肉卷(肯德基),维生素,硫胺素(Thiamin),0.15mg,15,0.15mg,
14,速食食品,快餐食品,鸡肉卷(肯德基),维生素,核黄素(Riboflavin),0.09mg,16,0.15mg,
15,速食食品,快餐食品,鸡肉卷(肯德基),维生素,烟酸(Niacin),2.25mg,14,2.36mg,
16,速食食品,快餐食品,鸡肉卷(肯德基),维生素,维生素C(Vitamin C),Tr,,,
17,速食食品,快餐食品,鸡肉卷(肯德基),矿物质,钙(Ca),34mg,13,61mg,
18,速食食品,快餐食品,鸡肉卷(肯德基),矿物质,磷(P),101mg,16,116mg,
19,速食食品,快餐食品,鸡肉卷(肯德基),矿物质,钾(K),131mg,17,142mg,
20,速食食品,快餐食品,鸡肉卷(肯德基),矿物质,钠(Na),816.1mg,3,511.7mg,
21,速食食品,快餐食品,鸡肉卷(肯德基),矿物质,镁(Mg),14mg,12,12mg,
22,速食食品,快餐食品,鸡肉卷(肯德基),矿物质,铁(Fe),1.3mg,17,1.8mg,
23,速食食品,快餐食品,鸡肉卷(肯德基),矿物质,锌(Zn),0.56mg,15,1.09mg,
24,速食食品,快餐食品,鸡肉卷(肯德基),矿物质,硒(Se),—,,,
25,速食食品,快餐食品,鸡肉卷(肯德基),矿物质,铜(Cu),0.06mg,15,0.06mg,
26,速食食品,快餐食品,鸡肉卷(肯德基),矿物质,锰(Mn),0.24mg,4,0.14mg,
27,速食食品,快餐食品,鸡肉卷(肯德基),矿物质,碘(I),—,,,
28,速食食品,快餐食品,鸡肉卷(肯德基),脂肪酸,饱和脂肪酸(SFA),—,,,
29,速食食品,快餐食品,鸡肉卷(肯德基),脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,速食食品,快餐食品,鸡肉卷(肯德基),脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,速食食品,快餐食品,鸡肉卷(肯德基),脂肪酸,合计(Total),—,,,
0,蛋类及制品,鸡蛋,鸡蛋(土鸡),类型,项目,含量,同类排名,同类均值,含量水平
1,蛋类及制品,鸡蛋,鸡蛋(土鸡),能量与相关成分,食部(Edible),88%,8,94%,
2,蛋类及制品,鸡蛋,鸡蛋(土鸡),能量与相关成分,水分(Water),72.6g,7,66.6g,
3,蛋类及制品,鸡蛋,鸡蛋(土鸡),能量与相关成分,能量(Energy),577kJ,10,837kJ,
4,蛋类及制品,鸡蛋,鸡蛋(土鸡),能量与相关成分,蛋白质(Protein),14.4g,5,14.7g,
5,蛋类及制品,鸡蛋,鸡蛋(土鸡),能量与相关成分,脂肪(Fat),6.4g,11,14.6g,
6,蛋类及制品,鸡蛋,鸡蛋(土鸡),能量与相关成分,胆固醇(Cholesterol),1338mg,4,777mg,
7,蛋类及制品,鸡蛋,鸡蛋(土鸡),能量与相关成分,灰分(Ash),1.0g,7,1.4g,
8,蛋类及制品,鸡蛋,鸡蛋(土鸡),能量与相关成分,碳水化合物(CHO),5.6g,3,2.9g,
9,蛋类及制品,鸡蛋,鸡蛋(土鸡),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,蛋类及制品,鸡蛋,鸡蛋(土鸡),维生素,胡萝卜素(Carotene),,,,
11,蛋类及制品,鸡蛋,鸡蛋(土鸡),维生素,维生素A(Vitamin),199.0μg,6,227.8μg,
12,蛋类及制品,鸡蛋,鸡蛋(土鸡),维生素,α-TE,—,,,
13,蛋类及制品,鸡蛋,鸡蛋(土鸡),维生素,硫胺素(Thiamin),0.12mg,3,0.08mg,
14,蛋类及制品,鸡蛋,鸡蛋(土鸡),维生素,核黄素(Riboflavin),0.19mg,12,0.33mg,
15,蛋类及制品,鸡蛋,鸡蛋(土鸡),维生素,烟酸(Niacin),,,,
16,蛋类及制品,鸡蛋,鸡蛋(土鸡),维生素,维生素C(Vitamin C),,,,
17,蛋类及制品,鸡蛋,鸡蛋(土鸡),矿物质,钙(Ca),76mg,5,82mg,
18,蛋类及制品,鸡蛋,鸡蛋(土鸡),矿物质,磷(P),33mg,11,210mg,
19,蛋类及制品,鸡蛋,鸡蛋(土鸡),矿物质,钾(K),244mg,1,124mg,
20,蛋类及制品,鸡蛋,鸡蛋(土鸡),矿物质,钠(Na),174.0mg,2,116.2mg,
21,蛋类及制品,鸡蛋,鸡蛋(土鸡),矿物质,镁(Mg),5mg,10,12mg,
22,蛋类及制品,鸡蛋,鸡蛋(土鸡),矿物质,铁(Fe),1.7mg,9,2.8mg,
23,蛋类及制品,鸡蛋,鸡蛋(土鸡),矿物质,锌(Zn),1.28mg,6,1.72mg,
24,蛋类及制品,鸡蛋,鸡蛋(土鸡),矿物质,硒(Se),11.50μg,9,16.77μg,
25,蛋类及制品,鸡蛋,鸡蛋(土鸡),矿物质,铜(Cu),0.32mg,2,0.14mg,
26,蛋类及制品,鸡蛋,鸡蛋(土鸡),矿物质,锰(Mn),0.06mg,1,0.03mg,
27,蛋类及制品,鸡蛋,鸡蛋(土鸡),矿物质,碘(I),,,,
28,蛋类及制品,鸡蛋,鸡蛋(土鸡),脂肪酸,饱和脂肪酸(SFA),78.0%,1,23.3%,
29,蛋类及制品,鸡蛋,鸡蛋(土鸡),脂肪酸,单不饱和脂肪酸(MUFA),15.0%,7,21.5%,
30,蛋类及制品,鸡蛋,鸡蛋(土鸡),脂肪酸,多不饱和脂肪酸(PUFA),5.2%,7,8.2%,
31,蛋类及制品,鸡蛋,鸡蛋(土鸡),脂肪酸,合计(Total),98.2%,4,53.1%,
0,饮料类,果汁及果汁饮料,橙汁饮料(三得利牌),类型,项目,含量,同类排名,同类均值,含量水平
1,饮料类,果汁及果汁饮料,橙汁饮料(三得利牌),能量与相关成分,食部(Edible),100%,1,100%,
2,饮料类,果汁及果汁饮料,橙汁饮料(三得利牌),能量与相关成分,水分(Water),88.2g,8,88.7g,
3,饮料类,果汁及果汁饮料,橙汁饮料(三得利牌),能量与相关成分,能量(Energy),201kJ,6,194kJ,
4,饮料类,果汁及果汁饮料,橙汁饮料(三得利牌),能量与相关成分,蛋白质(Protein),Tr,,,
5,饮料类,果汁及果汁饮料,橙汁饮料(三得利牌),能量与相关成分,脂肪(Fat),0.0g,11,0.3g,
6,饮料类,果汁及果汁饮料,橙汁饮料(三得利牌),能量与相关成分,胆固醇(Cholesterol),—,,,
